id,uuid,vae_uuid,name,seed,n_components,means,covariances
0,d8b2d561-92c5-4095-9d59-449ceceea8a8,ac607566-0c39-4b28-b543-7e73c8784c6a,GMM1,42,15,"{{-0.29791218458935914,0.12839350125584914},{-0.21111731040124046,0.651900217160942},{1.4323571002084234,-0.38527132630882843},{0.5452255127543405,-1.5110940902942023},{-1.6149627689373454,-1.1994631325158576},{-0.49804999840591724,-0.5689748649339553},{-1.5640102921205405,0.5465322516818483},{-0.04142870585321352,1.8218365627011188},{0.5970901878874076,1.286456964234604},{-0.3572878923288972,-0.13111180538180062},{-0.15735195916106204,1.0040635788523007},{0.6181556729538298,0.10460687738676366},{-0.7686264202903914,-1.7504464348470554},{-0.2583049234711341,0.38127288498772655},{1.774471719664389,0.063182409713335}}","{{{0.010270370924627004,0.0004948861079724632},{0.0004948861079724632,0.01294780812370895}},{{0.016229158251410056,-0.0003385290854263923},{-0.00033852908542639253,0.018393740919237133}},{{0.06074375763847845,-0.0149082439831315},{-0.0149082439831315,0.06284072853356601}},{{0.01816105348415605,-0.004123304090708493},{-0.004123304090708493,0.02411685975606552}},{{0.032197990672040974,0.011932017339762423},{0.011932017339762423,0.037214074888825735}},{{0.027444566188330258,0.016999713203512404},{0.0169997132035124,0.051418367225140316}},{{0.140728593282617,0.06463973164303076},{0.06463973164303076,0.24346241030626042}},{{0.020313623292506487,0.009839012555254247},{0.009839012555254247,0.3476214595957829}},{{0.12851184183256006,0.1019364037497072},{0.1019364037497072,0.19286841544247302}},{{0.011195353460347068,0.0019585172322597664},{0.0019585172322597664,0.018629366478931167}},{{0.024310752468039442,0.0007026875773729655},{0.0007026875773729655,0.04290166498594442}},{{0.14108128415653726,0.07715940530363641},{0.07715940530363642,0.06404915121966999}},{{0.12438617625080575,-0.12675630167643892},{-0.12675630167643892,0.22881772926975344}},{{0.013436375517637447,0.00023647999227921143},{0.00023647999227921143,0.01266130496678025}},{{0.0674612705470998,-0.018372601257301172},{-0.018372601257301172,0.05840941422154377}}}"
1,4db74b1c-5811-4764-ae9d-fb7d066afb64,18142870-6ce3-4444-8c95-0a7825cb302d,GMM3,23,15,"{{-0.35585448762082267,1.3624916379227883},{1.7176667521903821,0.2829185398938358},{-0.842886082420876,-0.9541552744351791},{0.423086078121487,0.95769181526789},{1.0943625689730951,-0.2748462824786319},{0.26728561339703316,0.6861231186891914},{-0.693763636199651,0.3074155896986782},{0.10097766740982295,-1.142412685232399},{0.23711282092939126,1.1068573534248005},{1.3845036802907817,-0.5176051424382658},{-1.0938112154382866,1.145233842954055},{-1.3525001358641506,-0.1832175492207113},{0.3277801568657597,0.54018907038194},{1.3267484950452546,-1.106650733779089},{0.17664959665919422,0.05345377187405149}}","{{{0.034625947647756554,-0.0018008247051146252},{-0.001800824705114625,0.21955228517088127}},{{0.03482044837132693,-0.0030033558785846257},{-0.0030033558785846257,0.005406325597899399}},{{0.06290425153918842,0.058869024802133005},{0.058869024802133,0.07535986985284847}},{{0.01557585433988524,0.01763312587899296},{0.01763312587899296,0.057977987228256866}},{{0.07333437015003212,0.00320703372593851},{0.0032070337259385096,0.16639251779759417}},{{0.043631526280447135,0.00499186636956916},{0.00499186636956916,0.030971835224714507}},{{0.15523170664207056,-0.03948343198044814},{-0.03948343198044814,0.035835954738753256}},{{0.015612885748112952,0.007979339893173168},{0.00797933989317317,0.1902562356576119}},{{0.3703623534376317,0.23662255455815487},{0.23662255455815487,0.21977126280203027}},{{0.04718533011902988,-0.008716654637668466},{-0.008716654637668467,0.00839771010718956}},{{0.07758851924267028,-0.039544981683661794},{-0.039544981683661794,0.04291468208304116}},{{0.11822385657470309,0.01331760291865385},{0.013317602918653847,0.009983646404185057}},{{0.014391589418360549,0.008538537291761053},{0.008538537291761052,0.045749724792832354}},{{0.01917369968871888,-0.008303317556047947},{-0.008303317556047947,0.02349555004502333}},{{0.08925904260026375,0.040392699370961266},{0.040392699370961266,0.13761545689138174}}}"
